time,ECG
1.056,-0.270
1.058,-0.260
1.061,-0.260
1.064,-0.255
1.067,-0.275
1.069,-0.290
1.072,-0.275
1.075,-0.250
1.078,-0.255
1.081,-0.260
1.083,-0.285
1.086,-0.290
1.089,-0.280
1.092,-0.260
1.094,-0.250
1.097,-0.285
1.100,-0.280
1.103,-0.280
1.106,-0.265
1.108,-0.245
1.111,-0.235
1.114,-0.265
1.117,-0.280
1.119,-0.280
1.122,-0.255
1.125,-0.235
1.128,-0.230
1.131,-0.250
1.133,-0.260
1.136,-0.260
1.139,-0.235
1.142,-0.235
1.144,-0.230
1.147,-0.250
1.150,-0.255
1.153,-0.255
1.156,-0.235
1.158,-0.220
1.161,-0.235
1.164,-0.245
1.167,-0.260
1.169,-0.255
1.172,-0.230
1.175,-0.210
1.178,-0.210
1.181,-0.230
1.183,-0.230
1.186,-0.210
1.189,-0.180
1.192,-0.150
1.194,-0.160
1.197,-0.170
1.200,-0.175
1.203,-0.135
1.206,-0.090
1.208,-0.065
1.211,-0.065
1.214,-0.095
1.217,-0.105
1.219,-0.095
1.222,-0.090
1.225,-0.070
1.228,-0.085
1.231,-0.125
1.233,-0.145
1.236,-0.150
1.239,-0.145
1.242,-0.165
1.244,-0.205
1.247,-0.245
1.250,-0.250
1.253,-0.235
1.256,-0.210
1.258,-0.220
1.261,-0.240
1.264,-0.255
1.267,-0.265
1.269,-0.255
1.272,-0.235
1.275,-0.250
1.278,-0.270
1.281,-0.290
1.283,-0.280
1.286,-0.245
1.289,-0.220
1.292,-0.235
1.294,-0.245
1.297,-0.260
1.300,-0.260
1.303,-0.250
1.306,-0.225
1.308,-0.225
1.311,-0.250
1.314,-0.270
1.317,-0.260
1.319,-0.200
1.322,-0.085
1.325,0.060
1.328,0.215
1.331,0.420
1.333,0.680
1.336,0.980
1.339,1.265
1.342,1.465
1.344,1.485
1.347,1.260
1.350,0.935
1.353,0.590
1.356,0.240
1.358,-0.030
1.361,-0.180
1.364,-0.255
1.367,-0.255
1.369,-0.270
1.372,-0.270
1.375,-0.275
1.378,-0.265
1.381,-0.270
1.383,-0.275
1.386,-0.285
1.389,-0.295
1.392,-0.305
1.394,-0.310
1.397,-0.310
1.400,-0.310
1.403,-0.315
1.406,-0.315
1.408,-0.320
1.411,-0.305
1.414,-0.295
1.417,-0.290
1.419,-0.300
1.422,-0.320
1.425,-0.295
1.428,-0.295
1.431,-0.295
1.433,-0.295
1.436,-0.295
1.439,-0.285
1.442,-0.280
1.444,-0.280
1.447,-0.260
1.450,-0.290
1.453,-0.270
1.456,-0.265
1.458,-0.250
1.461,-0.245
1.464,-0.245
1.467,-0.270
1.469,-0.255
1.472,-0.245
1.475,-0.225
1.478,-0.215
1.481,-0.215
1.483,-0.230
1.486,-0.225
1.489,-0.195
1.492,-0.195
1.494,-0.185
1.497,-0.195
1.500,-0.185
1.503,-0.170
1.506,-0.150
1.508,-0.130
1.511,-0.120
1.514,-0.125
1.517,-0.120
1.519,-0.110
1.522,-0.080
1.525,-0.060
1.528,-0.035
1.531,-0.030
1.533,-0.030
1.536,-0.015
1.539,0.005
1.542,0.040
1.544,0.060
1.547,0.070
1.550,0.060
1.553,0.065
1.556,0.090
1.558,0.125
1.561,0.150
1.564,0.120
1.567,0.125
1.569,0.120
1.572,0.140
1.575,0.170
1.578,0.175
1.581,0.160
1.583,0.145
1.586,0.125
1.589,0.140
1.592,0.145
1.594,0.140
1.597,0.110
1.600,0.070
1.603,0.040
1.606,0.030
1.608,0.040
1.611,0.020
1.614,-0.020
1.617,-0.060
1.619,-0.070
1.622,-0.080
1.625,-0.075
1.628,-0.085
1.631,-0.115
1.633,-0.160
1.636,-0.180
1.639,-0.165
1.642,-0.165
1.644,-0.165
1.647,-0.205
1.650,-0.235
1.653,-0.230
1.656,-0.220
1.658,-0.200
1.661,-0.210
1.664,-0.225
1.667,-0.255
1.669,-0.250
1.672,-0.225
1.675,-0.220
1.678,-0.210
1.681,-0.235
1.683,-0.250
1.686,-0.255
1.689,-0.230
1.692,-0.225
1.694,-0.225
1.697,-0.225
1.700,-0.255
1.703,-0.245
1.706,-0.230
1.708,-0.210
1.711,-0.200
1.714,-0.215
1.717,-0.235
1.719,-0.230
1.722,-0.220
1.725,-0.205
1.728,-0.200
1.731,-0.230
1.733,-0.245
1.736,-0.235
1.739,-0.215
1.742,-0.200
1.744,-0.195
1.747,-0.220
1.750,-0.250
1.753,-0.260
1.756,-0.230
1.758,-0.220
1.761,-0.210
1.764,-0.225
1.767,-0.245
1.769,-0.220
1.772,-0.200
1.775,-0.175
1.778,-0.160
1.781,-0.180
1.783,-0.180
1.786,-0.155
1.789,-0.115
1.792,-0.080
1.794,-0.060
1.797,-0.070
1.800,-0.080
1.803,-0.085
1.806,-0.065
1.808,-0.055
1.811,-0.060
1.814,-0.085
1.817,-0.115
1.819,-0.125
1.822,-0.135
1.825,-0.130
1.828,-0.140
1.831,-0.180
1.833,-0.220
1.836,-0.240
1.839,-0.245
1.842,-0.240
1.844,-0.235
1.847,-0.255
1.850,-0.260
1.853,-0.235
1.856,-0.195
1.858,-0.150
1.861,-0.100
1.864,-0.060
1.867,-0.035
1.869,0.035
1.872,0.115
1.875,0.200
1.878,0.290
1.881,0.350
1.883,0.415
1.886,0.490
1.889,0.570
1.892,0.630
1.894,0.670
1.897,0.690
1.900,0.745
1.903,0.830
1.906,0.940
1.908,1.025
1.911,1.060
1.914,1.085
1.917,1.190
1.919,1.370
1.922,1.510
1.925,1.605
1.928,1.660
1.931,1.690
1.933,1.765
1.936,1.855
1.939,1.935
1.942,1.945
1.944,1.735
1.947,1.335
1.950,0.930
1.953,0.610
1.956,0.330
1.958,0.100
1.961,-0.100
1.964,-0.265
1.967,-0.375
1.969,-0.410
1.972,-0.405
1.975,-0.415
1.978,-0.460
1.981,-0.495
1.983,-0.545
1.986,-0.545
1.989,-0.545
1.992,-0.545
1.994,-0.560
1.997,-0.590
2.000,-0.615
2.003,-0.610
2.006,-0.610
2.008,-0.605
2.011,-0.600
2.014,-0.630
2.017,-0.645
2.019,-0.630
2.022,-0.615
2.025,-0.615
2.028,-0.615
2.031,-0.660
2.033,-0.685
2.036,-0.675
2.039,-0.660
2.042,-0.650
2.044,-0.655
2.047,-0.690
2.050,-0.720
2.053,-0.725
2.056,-0.700
2.058,-0.700
2.061,-0.715
2.064,-0.745
2.067,-0.760
2.069,-0.765
2.072,-0.755
2.075,-0.755
2.078,-0.755
2.081,-0.790
2.083,-0.805
2.086,-0.795
2.089,-0.785
2.092,-0.770
2.094,-0.780
2.097,-0.800
2.100,-0.825
2.103,-0.830
2.106,-0.820
2.108,-0.800
2.111,-0.790
2.114,-0.805
2.117,-0.840
2.119,-0.830
2.122,-0.805
2.125,-0.785
2.128,-0.765
2.131,-0.765
2.133,-0.780
2.136,-0.760
2.139,-0.715
2.142,-0.670
2.144,-0.670
2.147,-0.675
2.150,-0.675
2.153,-0.635
2.156,-0.590
2.158,-0.555
2.161,-0.535
2.164,-0.545
2.167,-0.520
2.169,-0.495
2.172,-0.445
2.175,-0.415
2.178,-0.395
2.181,-0.415
2.183,-0.420
2.186,-0.380
2.189,-0.360
2.192,-0.350
2.194,-0.340
2.197,-0.350
2.200,-0.365
2.203,-0.370
2.206,-0.340
2.208,-0.310
2.211,-0.325
2.214,-0.355
2.217,-0.370
2.219,-0.355
2.222,-0.340
2.225,-0.330
2.228,-0.330
2.231,-0.370
2.233,-0.385
2.236,-0.360
2.239,-0.350
2.242,-0.340
2.244,-0.325
2.247,-0.355
2.250,-0.375
2.253,-0.350
2.256,-0.345
2.258,-0.330
2.261,-0.325
2.264,-0.360
2.267,-0.365
2.269,-0.350
2.272,-0.340
2.275,-0.320
2.278,-0.330
2.281,-0.350
2.283,-0.355
2.286,-0.355
2.289,-0.335
2.292,-0.325
2.294,-0.330
2.297,-0.345
2.300,-0.355
2.303,-0.355
2.306,-0.325
2.308,-0.305
2.311,-0.285
2.314,-0.295
2.317,-0.275
2.319,-0.245
2.322,-0.190
2.325,-0.150
2.328,-0.135
2.331,-0.110
2.333,-0.055
2.336,0.045
2.339,0.170
2.342,0.270
2.344,0.390
2.347,0.490
2.350,0.595
2.353,0.710
2.356,0.805
2.358,0.910
2.361,0.975
2.364,1.035
2.367,1.105
2.369,1.185
2.372,1.230
2.375,1.230
2.378,1.175
2.381,1.100
2.383,1.025
2.386,0.995
2.389,0.980
2.392,0.970
2.394,0.930
2.397,0.885
2.400,0.855
2.403,0.865
2.406,0.880
2.408,0.880
2.411,0.895
2.414,0.880
2.417,0.885
2.419,0.845
2.422,0.785
2.425,0.655
2.428,0.520
2.431,0.300
2.433,0.095
2.436,-0.075
2.439,-0.205
2.442,-0.305
2.444,-0.375
2.447,-0.430
2.450,-0.475
2.453,-0.490
2.456,-0.530
2.458,-0.575
2.461,-0.620
2.464,-0.665
2.467,-0.690
2.469,-0.710
2.472,-0.715
2.475,-0.725
2.478,-0.765
2.481,-0.805
2.483,-0.820
2.486,-0.810
2.489,-0.800
2.492,-0.810
2.494,-0.830
2.497,-0.845
2.500,-0.865
2.503,-0.880
2.506,-0.870
2.508,-0.880
2.511,-0.895
2.514,-0.920
2.517,-0.940
2.519,-0.945
2.522,-0.960
2.525,-0.970
2.528,-0.970
2.531,-1.010
2.533,-1.015
2.536,-1.015
2.539,-1.015
2.542,-1.020
2.544,-1.060
2.547,-1.080
2.550,-1.105
2.553,-1.095
2.556,-1.090
2.558,-1.110
2.561,-1.120
2.564,-1.140
2.567,-1.140
2.569,-1.140
2.572,-1.140
2.575,-1.125
2.578,-1.110
2.581,-1.110
2.583,-1.105
2.586,-1.100
2.589,-1.080
2.592,-1.050
2.594,-1.010
2.597,-0.985
2.600,-0.970
2.603,-0.960
2.606,-0.905
2.608,-0.865
2.611,-0.830
2.614,-0.810
2.617,-0.775
2.619,-0.735
2.622,-0.690
2.625,-0.655
2.628,-0.615
2.631,-0.600
2.633,-0.580
2.636,-0.575
2.639,-0.540
2.642,-0.510
2.644,-0.485
2.647,-0.485
2.650,-0.490
2.653,-0.480
2.656,-0.455
2.658,-0.455
2.661,-0.445
2.664,-0.445
2.667,-0.455
2.669,-0.465
2.672,-0.430
2.675,-0.420
2.678,-0.415
2.681,-0.440
2.683,-0.465
2.686,-0.440
2.689,-0.420
2.692,-0.400
2.694,-0.410
2.697,-0.410
2.700,-0.445
2.703,-0.435
2.706,-0.420
2.708,-0.390
2.711,-0.395
2.714,-0.395
2.717,-0.420
2.719,-0.425
2.722,-0.405
2.725,-0.395
2.728,-0.385
2.731,-0.385
2.733,-0.410
2.736,-0.395
2.739,-0.385
2.742,-0.365
2.744,-0.355
2.747,-0.375
2.750,-0.395
2.753,-0.390
2.756,-0.380
2.758,-0.350
2.761,-0.350
2.764,-0.365
2.767,-0.385
2.769,-0.390
2.772,-0.345
2.775,-0.340
2.778,-0.360
2.781,-0.380
2.783,-0.375
2.786,-0.340
2.789,-0.325
2.792,-0.335
2.794,-0.350
2.797,-0.355
2.800,-0.340
2.803,-0.320
2.806,-0.315
2.808,-0.315
2.811,-0.335
2.814,-0.340
2.817,-0.335
2.819,-0.310
2.822,-0.305
2.825,-0.320
2.828,-0.365
2.831,-0.380
2.833,-0.345
2.836,-0.340
2.839,-0.320
2.842,-0.330
2.844,-0.330
2.847,-0.345
2.850,-0.335
2.853,-0.320
2.856,-0.305
2.858,-0.305
2.861,-0.325
2.864,-0.325
2.867,-0.330
2.869,-0.290
2.872,-0.290
2.875,-0.295
2.878,-0.320
2.881,-0.330
2.883,-0.330
2.886,-0.295
2.889,-0.285
2.892,-0.305
2.894,-0.340
2.897,-0.335
2.900,-0.325
2.903,-0.325
2.906,-0.305
2.908,-0.315
2.911,-0.325
2.914,-0.335
2.917,-0.325
2.919,-0.300
2.922,-0.295
2.925,-0.310
2.928,-0.320
2.931,-0.330
2.933,-0.320
2.936,-0.310
2.939,-0.280
2.942,-0.295
2.944,-0.320
2.947,-0.335
2.950,-0.330
2.953,-0.320
2.956,-0.295
2.958,-0.285
2.961,-0.320
2.964,-0.320
2.967,-0.310
2.969,-0.300
2.972,-0.270
2.975,-0.275
2.978,-0.300
2.981,-0.310
2.983,-0.305
2.986,-0.285
2.989,-0.275
2.992,-0.275
2.994,-0.300
2.997,-0.315
3.000,-0.320
3.003,-0.285
3.006,-0.260
3.008,-0.280
3.011,-0.295
3.014,-0.295
3.017,-0.285
3.019,-0.280
3.022,-0.275
3.025,-0.285
3.028,-0.290
3.031,-0.300
3.033,-0.305
3.036,-0.290
3.039,-0.265
3.042,-0.290
3.044,-0.285
3.047,-0.295
3.050,-0.295
3.053,-0.280
3.056,-0.260
3.058,-0.265
3.061,-0.290
3.064,-0.315
3.067,-0.305
3.069,-0.285
3.072,-0.260
3.075,-0.285
3.078,-0.280
3.081,-0.300
3.083,-0.295
3.086,-0.270
3.089,-0.260
3.092,-0.260
3.094,-0.280
3.097,-0.290
3.100,-0.290
3.103,-0.285
3.106,-0.255
3.108,-0.250
3.111,-0.255
3.114,-0.265
3.117,-0.245
3.119,-0.225
3.122,-0.200
3.125,-0.185
3.128,-0.190
3.131,-0.190
3.133,-0.185
3.136,-0.155
3.139,-0.110
3.142,-0.100
3.144,-0.095
3.147,-0.105
3.150,-0.100
3.153,-0.095
3.156,-0.085
3.158,-0.080
3.161,-0.120
3.164,-0.150
3.167,-0.170
3.169,-0.145
3.172,-0.150
3.175,-0.155
3.178,-0.190
3.181,-0.200
3.183,-0.205
3.186,-0.235
3.189,-0.210
3.192,-0.210
3.194,-0.230
3.197,-0.245
3.200,-0.265
3.203,-0.245
3.206,-0.225
3.208,-0.225
3.211,-0.230
3.214,-0.260
3.217,-0.245
3.219,-0.230
3.222,-0.220
3.225,-0.225
3.228,-0.240
3.231,-0.245
3.233,-0.255
3.236,-0.235
3.239,-0.230
3.242,-0.220
3.244,-0.240
3.247,-0.250
3.250,-0.270
3.253,-0.275
3.256,-0.255
3.258,-0.205
3.261,-0.115
3.264,0.025
3.267,0.210
3.269,0.485
3.272,0.795
3.275,1.080
3.278,1.330
3.281,1.520
3.283,1.560
3.286,1.355
3.289,0.995
3.292,0.570
3.294,0.175
3.297,-0.095
3.300,-0.200
3.303,-0.220
3.306,-0.225
3.308,-0.220
3.311,-0.250
3.314,-0.255
3.317,-0.250
3.319,-0.220
3.322,-0.225
3.325,-0.240
3.328,-0.250
3.331,-0.265
3.333,-0.275
3.336,-0.250
3.339,-0.260
3.342,-0.285
3.344,-0.300
3.347,-0.290
3.350,-0.290
3.353,-0.265
3.356,-0.260
3.358,-0.265
3.361,-0.275
3.364,-0.280
3.367,-0.285
3.369,-0.255
3.372,-0.235
3.375,-0.265
3.378,-0.270
3.381,-0.275
3.383,-0.270
3.386,-0.250
3.389,-0.225
3.392,-0.220
3.394,-0.235
3.397,-0.240
3.400,-0.240
3.403,-0.230
3.406,-0.210
3.408,-0.205
3.411,-0.220
3.414,-0.210
3.417,-0.195
3.419,-0.190
3.422,-0.175
3.425,-0.160
3.428,-0.160
3.431,-0.165
3.433,-0.155
3.436,-0.130
3.439,-0.135
3.442,-0.125
3.444,-0.115
3.447,-0.110
3.450,-0.110
3.453,-0.080
3.456,-0.065
3.458,-0.050
3.461,-0.060
3.464,-0.050
3.467,-0.045
3.469,-0.005
3.472,0.015
3.475,0.020
3.478,0.025
3.481,0.015
3.483,0.035
3.486,0.065
3.489,0.105
3.492,0.115
3.494,0.105
3.497,0.095
3.500,0.125
3.503,0.140
3.506,0.170
3.508,0.165
3.511,0.155
3.514,0.150
3.517,0.155
3.519,0.180
3.522,0.195
3.525,0.215
3.528,0.200
3.531,0.205
3.533,0.205
3.536,0.210
3.539,0.215
3.542,0.220
3.544,0.185
3.547,0.175
3.550,0.170
3.553,0.170
3.556,0.180
3.558,0.160
3.561,0.130
3.564,0.100
3.567,0.070
3.569,0.050
3.572,0.035
3.575,0.025
3.578,0.010
3.581,-0.015
3.583,-0.035
3.586,-0.045
3.589,-0.060
3.592,-0.065
3.594,-0.080
3.597,-0.090
3.600,-0.090
3.603,-0.095
3.606,-0.085
3.608,-0.090
3.611,-0.095
3.614,-0.110
3.617,-0.110
3.619,-0.105
3.622,-0.090
3.625,-0.095
3.628,-0.120
3.631,-0.120
3.633,-0.125
3.636,-0.105
3.639,-0.100
3.642,-0.105
3.644,-0.105
3.647,-0.100
3.650,-0.110
3.653,-0.100
3.656,-0.100
3.658,-0.110
3.661,-0.115
3.664,-0.120
3.667,-0.120
3.669,-0.110
3.672,-0.090
3.675,-0.100
3.678,-0.115
3.681,-0.115
3.683,-0.105
3.686,-0.095
3.689,-0.090
3.692,-0.090
3.694,-0.100
3.697,-0.105
3.700,-0.090
3.703,-0.100
3.706,-0.070
3.708,-0.075
3.711,-0.090
3.714,-0.090
3.717,-0.080
3.719,-0.045
3.722,-0.050
3.725,-0.035
3.728,-0.030
3.731,-0.030
3.733,-0.025
3.736,0.025
3.739,0.035
3.742,0.060
3.744,0.050
3.747,0.045
3.750,0.065
3.753,0.080
3.756,0.090
3.758,0.100
3.761,0.095
3.764,0.110
3.767,0.150
3.769,0.195
3.772,0.225
3.775,0.275
3.778,0.315
3.781,0.360
3.783,0.450
3.786,0.555
3.789,0.625
3.792,0.675
3.794,0.710
3.797,0.780
3.800,0.850
3.803,0.935
3.806,1.045
3.808,1.130
3.811,1.195
3.814,1.245
3.817,1.305
3.819,1.415
3.822,1.535
3.825,1.635
3.828,1.645
3.831,1.610
3.833,1.560
3.836,1.530
3.839,1.500
3.842,1.450
3.844,1.370
3.847,1.305
3.850,1.255
3.853,1.235
3.856,1.185
3.858,1.145
3.861,1.085
3.864,1.040
3.867,1.010
3.869,1.005
3.872,0.995
3.875,0.960
3.878,0.890
3.881,0.785
3.883,0.680
3.886,0.560
3.889,0.395
3.892,0.190
3.894,-0.025
3.897,-0.185
3.900,-0.290
3.903,-0.360
3.906,-0.380
3.908,-0.430
3.911,-0.480
3.914,-0.500
3.917,-0.510
3.919,-0.515
3.922,-0.530
3.925,-0.550
3.928,-0.580
3.931,-0.590
3.933,-0.595
3.936,-0.585
3.939,-0.595
3.942,-0.605
3.944,-0.615
3.947,-0.630
3.950,-0.630
3.953,-0.630
3.956,-0.630
3.958,-0.645
3.961,-0.675
3.964,-0.695
3.967,-0.700
3.969,-0.695
3.972,-0.710
3.975,-0.735
3.978,-0.750
3.981,-0.760
3.983,-0.770
3.986,-0.760
3.989,-0.765
3.992,-0.770
3.994,-0.805
3.997,-0.825
4.000,-0.825
4.003,-0.815
4.006,-0.820
4.008,-0.830
4.011,-0.865
4.014,-0.870
4.017,-0.885
4.019,-0.880
4.022,-0.880
4.025,-0.875
4.028,-0.885
4.031,-0.900
4.033,-0.885
4.036,-0.890
4.039,-0.885
4.042,-0.895
4.044,-0.890
4.047,-0.890
4.050,-0.880
4.053,-0.850
4.056,-0.835
4.058,-0.815
4.061,-0.825
4.064,-0.810
4.067,-0.785
4.069,-0.745
4.072,-0.705
4.075,-0.690
4.078,-0.680
4.081,-0.670
4.083,-0.615
4.086,-0.570
4.089,-0.520
4.092,-0.490
4.094,-0.470
4.097,-0.450
4.100,-0.410
4.103,-0.380
4.106,-0.345
4.108,-0.320
4.111,-0.320
4.114,-0.305
4.117,-0.280
4.119,-0.240
4.122,-0.225
4.125,-0.215
4.128,-0.230
4.131,-0.225
4.133,-0.225
4.136,-0.220
4.139,-0.200
4.142,-0.190
4.144,-0.215
4.147,-0.225
4.150,-0.225
4.153,-0.200
4.156,-0.205
4.158,-0.200
4.161,-0.215
4.164,-0.235
4.167,-0.220
4.169,-0.200
4.172,-0.190
4.175,-0.195
4.178,-0.225
4.181,-0.220
4.183,-0.215
4.186,-0.210
4.189,-0.205
4.192,-0.205
4.194,-0.225
4.197,-0.240
4.200,-0.225
4.203,-0.215
4.206,-0.210
4.208,-0.215
4.211,-0.230
4.214,-0.250
4.217,-0.240
4.219,-0.205
4.222,-0.200
4.225,-0.200
4.228,-0.210
4.231,-0.220
4.233,-0.220
4.236,-0.200
4.239,-0.200
4.242,-0.195
4.244,-0.200
4.247,-0.215
4.250,-0.215
4.253,-0.185
4.256,-0.185
4.258,-0.180
4.261,-0.190
4.264,-0.200
4.267,-0.190
4.269,-0.170
4.272,-0.160
4.275,-0.170
4.278,-0.175
4.281,-0.185
4.283,-0.180
4.286,-0.160
4.289,-0.150
4.292,-0.145
4.294,-0.165
4.297,-0.170
4.300,-0.165
4.303,-0.150
4.306,-0.140
4.308,-0.140
4.311,-0.130
4.314,-0.125
4.317,-0.110
4.319,-0.075
4.322,-0.035
4.325,0.005
4.328,0.035
4.331,0.070
4.333,0.135
4.336,0.205
4.339,0.265
4.342,0.330
4.344,0.390
4.347,0.465
4.350,0.545
4.353,0.645
4.356,0.755
4.358,0.845
4.361,0.905
4.364,0.970
4.367,1.050
4.369,1.145
4.372,1.260
4.375,1.340
4.378,1.400
4.381,1.455
4.383,1.535
4.386,1.645
4.389,1.690
4.392,1.645
4.394,1.580
4.397,1.490
4.400,1.435
4.403,1.395
4.406,1.355
